trial,bucketer,encoder,model_type,lstm_units,conv_filters,kernel_size,dropout,lr,batch_size,epochs,class_weight_pos,threshold,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_pr_auc,val_mcc,val_best_threshold,val_best_f1_on_val,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_pr_auc,test_mcc,score
19,kmeans,index,bilstm,128,32,3,0.4560301089898728,0.008372504311411393,32,19,5.6061817463931005,0.5559443727354934,0.6363970588235294,0.5893881453154876,0.9046221570066031,0.7137481910274964,0.6655152409370504,0.6029797747212553,0.3222700868192427,0.8479915857315063,0.7137481910270185,0.5973557692307693,0.551156409251274,0.8782011242973142,0.6772639691714836,0.6392389383155505,0.5694417794908389,0.25416854366658337,0.6017884363950322
20,kmeans,index,bilstm,128,32,3,0.44410935129671864,0.004619730553209339,32,17,6.13679598107195,0.5741107134206267,0.6334558823529411,0.5864022662889519,0.9112252384446075,0.7135880494110888,0.669709681762076,0.6067227854165176,0.31999366428494935,0.8704502582550049,0.7135880494106123,0.5931490384615384,0.5475182762601001,0.8888194878201124,0.6776190476190476,0.6380924342667997,0.5687519537146152,0.2511114195531638,0.6014120818859449
21,kmeans,index,bilstm,128,32,3,0.4360996346427691,0.009844881654271808,32,18,6.1335795069504995,0.5718541438571327,0.6341911764705882,0.5877025738798856,0.9046221570066031,0.7125108350187807,0.6671066738538411,0.606019061191905,0.318093395401881,0.8418870568275452,0.7125108350183031,0.5943509615384616,0.5490042951971886,0.8782011242973142,0.6756367131186929,0.6353364844713802,0.5679960458116917,0.24845029015766687,0.600288246003792
22,kmeans,index,bilstm,128,32,3,0.44640288653699645,0.004425651915938887,32,19,5.0139751852413825,0.5600373818180898,0.6136029411764706,0.5712979890310786,0.917094644167278,0.7040270346381301,0.6510890786125149,0.5974993284770377,0.2847117360035842,0.851714551448822,0.7040270346376571,0.5685096153846154,0.5310267017675818,0.8819487820112429,0.6629107981220658,0.6227216848763097,0.5623344921558557,0.19933513660539678,0.5925073839457187
23,kmeans,index,bilstm,128,32,3,0.4487004842132783,0.004607520220231427,32,15,6.549303826374444,0.48144089595795425,0.6363970588235294,0.5893881453154876,0.9046221570066031,0.7137481910274964,0.6667538931580009,0.6052994088708864,0.3222700868192427,0.8765420317649841,0.7137481910270185,0.5973557692307693,0.551156409251274,0.8782011242973142,0.6772639691714836,0.6343836564220321,0.5678347442524125,0.25416854366658337,0.6006635117281338
24,kmeans,index,bilstm,128,32,3,0.4127623954241093,0.007000309774545724,32,11,4.827179306642507,0.5871981772490313,0.6363970588235294,0.5893881453154876,0.9046221570066031,0.7137481910274964,0.6660475207762149,0.6051649755209301,0.3222700868192427,0.8482642769813538,0.7137481910270185,0.5973557692307693,0.551156409251274,0.8782011242973142,0.6772639691714836,0.6375329258240815,0.5688062270607723,0.25416854366658337,0.6013435496939856
25,kmeans,index,bilstm,128,32,3,0.40942989613750447,0.003921132568073253,32,11,4.527666632928885,0.5964072893727488,0.6363970588235294,0.5893881453154876,0.9046221570066031,0.7137481910274964,0.6684923856139006,0.6112568855399723,0.3222700868192427,0.8493209481239319,0.7137481910270185,0.5973557692307693,0.551156409251274,0.8782011242973142,0.6772639691714836,0.6352066437920423,0.567336869501508,0.25416854366658337,0.6003149994025007
26,kmeans,index,bilstm,128,32,3,0.4975184959106825,0.0067189326026602545,32,11,6.681727498524532,0.6875674416987149,0.6363970588235294,0.5893881453154876,0.9046221570066031,0.7137481910274964,0.6668212053367474,0.6081976798789188,0.3222700868192427,0.8826524615287781,0.7137481910270185,0.5973557692307693,0.551156409251274,0.8782011242973142,0.6772639691714836,0.6388899236761043,0.5696083899711516,0.25416854366658337,0.6019050637312512
27,kmeans,index,bilstm,128,32,3,0.49186200647605444,0.00366221882324324,32,16,8.639390042256839,0.6837293500664235,0.6363970588235294,0.5893881453154876,0.9046221570066031,0.7137481910274964,0.6700665174084433,0.6117285436689803,0.3222700868192427,0.9104539752006531,0.7137481910270185,0.5973557692307693,0.551156409251274,0.8782011242973142,0.6772639691714836,0.6370141056165317,0.5689733830691037,0.25416854366658337,0.6014605588998176
30,kmeans,index,bilstm,128,32,3,0.46436509036510787,0.005835785896035721,32,16,8.654514296633476,0.6644326752448602,0.6297794117647059,0.5839622641509434,0.9082905355832722,0.7108814240597187,0.6625991908481387,0.6048466656703148,0.3115047963337764,0.9093547463417053,0.7108814240592423,0.5907451923076923,0.5464438398756316,0.8782011242973142,0.6736942980354576,0.6322459869645746,0.5672792527600007,0.2415426415103968,0.5992037663426377
